,source,target,weight
0,SMESG000013010,SMESG000014588,-3.414662847
1,SMESG000013010,SMESG000079512,-2.128779707
2,SMESG000013010,SMESG000002890,-0.706480632
3,SMESG000013010,SMESG000003089,-28.76068089
4,SMESG000013010,SMESG000005493,-10.49743972
5,SMESG000013010,SMESG000008188,-1.202002262
6,SMESG000013010,SMESG000008845,-26.32346073
7,SMESG000013010,SMESG000010914,2.757459937
8,SMESG000013010,SMESG000012034,-15.78639711
9,SMESG000013010,SMESG000012837,-1.363619804
10,SMESG000013010,SMESG000013389,-99.31649521
11,SMESG000013010,SMESG000015928,-79.82446315
12,SMESG000013010,SMESG000016410,2.50696175
13,SMESG000013010,SMESG000016720,3.887655056
14,SMESG000013010,SMESG000017013,-2.422003598
15,SMESG000013010,SMESG000019926,-4.787213025
16,SMESG000013010,SMESG000022670,-0.752949191
17,SMESG000013010,SMESG000023346,-18.92249794
18,SMESG000013010,SMESG000023649,-12.89124404
19,SMESG000013010,SMESG000024440,-3.443143874
20,SMESG000013010,SMESG000025002,125.338062
21,SMESG000013010,SMESG000025003,3777.979259
22,SMESG000013010,SMESG000025004,37.76366924
23,SMESG000013010,SMESG000028452,-1.098299281
24,SMESG000013010,SMESG000028953,-0.604364777
25,SMESG000013010,SMESG000030472,7.186850862
26,SMESG000013010,SMESG000031090,0.741539861
27,SMESG000013010,SMESG000031112,-7.631106112
28,SMESG000013010,SMESG000032522,-8.546828195
29,SMESG000013010,SMESG000036036,-153.4954706
30,SMESG000013010,SMESG000038731,-0.783350569
31,SMESG000013010,SMESG000048384,-2.399186088
32,SMESG000013010,SMESG000050440,-6.58503284
33,SMESG000013010,SMESG000051078,-1.135015865
34,SMESG000013010,SMESG000051953,203.3252669
35,SMESG000013010,SMESG000051964,140.9712134
36,SMESG000013010,SMESG000064795,3.493817638
37,SMESG000013010,SMESG000067876,-2.478894189
38,SMESG000013010,SMESG000068114,3.046197139
39,SMESG000013010,SMESG000068931,-2.165015463
40,SMESG000013010,SMESG000070969,-1.013926259
41,SMESG000013010,SMESG000071152,4.122220731
42,SMESG000013010,SMESG000071494,-12.23932974
43,SMESG000013010,SMESG000071517,-0.572576656
44,SMESG000013010,SMESG000074944,-1.935113108
45,SMESG000013010,SMESG000074945,-0.612934467
46,SMESG000013010,SMESG000075916,-7.659291611
47,SMESG000013010,SMESG000075928,1.32672211
48,SMESG000013010,SMESG000077405,-26.3682411
49,SMESG000013010,SMESG000077685,-6.943828797
50,SMESG000013010,SMESG000079770,-9.191241282
51,SMESG000013010,SMESG000081673,-1.612710972
52,SMESG000013010,SMESG000073676,-2.131576741
53,SMESG000070743,SMESG000016670,-2.611747372
54,SMESG000070743,SMESG000000320,1.382626649
55,SMESG000070743,SMESG000000510,2.660481339
56,SMESG000070743,SMESG000009923,-2.787979995
57,SMESG000070743,SMESG000011627,2.479764012
58,SMESG000070743,SMESG000016405,3.441304544
59,SMESG000070743,SMESG000017386,4.990907086
60,SMESG000070743,SMESG000017389,19.90880443
61,SMESG000070743,SMESG000021478,18.4603827
62,SMESG000070743,SMESG000023006,-16999.51575
63,SMESG000070743,SMESG000023281,-0.025310365
64,SMESG000070743,SMESG000023320,51.14159702
65,SMESG000070743,SMESG000023329,1.155001478
66,SMESG000070743,SMESG000024850,3.773658436
67,SMESG000070743,SMESG000026635,3.418265825
68,SMESG000070743,SMESG000038115,0.748551454
69,SMESG000070743,SMESG000042676,1.026585093
70,SMESG000070743,SMESG000049184,7.149904958
71,SMESG000070743,SMESG000055797,2.180768907
72,SMESG000070743,SMESG000061089,3.965322862
73,SMESG000070743,SMESG000066645,0.068691183
74,SMESG000070743,SMESG000066808,1.981669531
75,SMESG000070743,SMESG000072676,1.208780531
76,SMESG000070743,SMESG000072679,4.173155096
77,SMESG000070743,SMESG000076290,8.948277493
78,SMESG000070743,SMESG000077260,1.667551861
79,SMESG000030143,SMESG000081952,5.217843497
80,SMESG000030143,SMESG000013939,35.77348056
81,SMESG000030143,SMESG000014375,-9.514226053
82,SMESG000030143,SMESG000017270,5.411435833
83,SMESG000030143,SMESG000026662,21.2575485
84,SMESG000030143,SMESG000028290,1.947153451
85,SMESG000030143,SMESG000028784,4.653661012
86,SMESG000030143,SMESG000040636,2.479828988
87,SMESG000030143,SMESG000051213,0.629955173
88,SMESG000030143,SMESG000051357,23.0478251
89,SMESG000030143,SMESG000060499,1.031807359
90,SMESG000030143,SMESG000068881,5.016070898
91,SMESG000016670,SMESG000008885,-0.290651104
92,SMESG000016670,SMESG000012034,0.720229421
93,SMESG000016670,SMESG000016934,-0.090194379
94,SMESG000016670,SMESG000016993,0.18448633
95,SMESG000016670,SMESG000023329,1.186789445
96,SMESG000016670,SMESG000025013,51.40100184
97,SMESG000016670,SMESG000025014,-59.68874025
98,SMESG000016670,SMESG000029095,-1.469271989
